Search_method Problem Max_evals Run Score
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 0 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 1 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 2 1280
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 3 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 4 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 5 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 6 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 7 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 8 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 9 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 10 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 11 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 12 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 13 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 14 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 15 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 16 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 17 1440
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 18 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 19 1320
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 20 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 21 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 22 1320
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 23 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 24 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 25 1360
