Search_method Problem Max_evals Run Score
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 0 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 1 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 2 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 3 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 4 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 5 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 6 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 7 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 8 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 9 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 10 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 11 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 12 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 13 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 14 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 15 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 16 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 17 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 18 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 19 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 20 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 21 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 22 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 23 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 24 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 25 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 26 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 27 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 28 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 29 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 30 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 31 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 32 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 33 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 34 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 35 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 36 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 37 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 38 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 39 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 40 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 41 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 42 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 43 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 44 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 45 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 46 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 47 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 48 0
random_restart_hill_climber_cliff_score knapPI_11_20_1000_4 1000 49 0
