Search_method Problem Max_evals Run Score
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 0 1320
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 1 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 2 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 3 1200
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 4 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 5 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 6 1320
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 7 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 8 1320
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 9 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 10 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 11 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 12 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 13 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 14 1360
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 15 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 16 1280
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 17 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 18 1280
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 19 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 20 1280
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 21 1320
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 22 1320
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 23 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 24 1320
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 25 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 26 1200
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 27 1400
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 28 1280
random_restart_hill_climber_penalized_score knapPI_11_20_1000_4 1000 29 1400
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 0 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 1 889
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 2 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 3 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 4 889
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 5 889
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 6 889
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 7 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 8 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 9 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 10 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 11 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 12 889
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 13 889
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 14 890
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 15 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 16 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 17 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 18 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 19 890
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 20 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 21 890
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 22 889
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 23 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 24 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 25 872
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 26 889
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 27 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 28 907
random_restart_hill_climber_penalized_score knapPI_13_20_1000_4 1000 29 889
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 0 2893
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 1 2893
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 2 2575
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 3 2682
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 4 2557
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 5 2675
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 6 2893
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 7 2886
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 8 2682
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 9 2893
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 10 2893
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 11 2886
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 12 2633
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 13 2682
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 14 2886
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 15 2651
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 16 2542
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 17 2886
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 18 2597
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 19 2557
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 20 2290
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 21 2557
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 22 2582
random_restart_hill_climber_penalized_score knapPI_16_20_1000_4 1000 23 2682
